TeamID,Team,GP,W,L,WIN%,MIN,EOFFRTG,OFFRTG,EDEFRTG,DEFRTG,ENETRTG,NETRTG,Season
1610612765,Detroit Pistons,17,6,11,0.353,816.0,104.8,106.9,107.5,109.3,-2.7,-2.4,2015-16
1610612744,Golden State Warriors,15,13,2,0.867,720.0,114.5,115.9,100.8,102.7,13.7,13.2,2015-16
1610612745,Houston Rockets,18,9,9,0.5,874.0,105.7,107.5,108.7,110.0,-3.0,-2.5,2015-16
1610612754,Indiana Pacers,17,7,10,0.412,831.0,102.5,103.9,102.4,105.0,0.1,-1.1,2015-16
1610612746,LA Clippers,16,11,5,0.688,788.0,107.5,107.8,101.3,103.3,6.2,4.5,2015-16
1610612747,Los Angeles Lakers,17,3,14,0.176,816.0,96.8,99.1,108.8,110.3,-12.0,-11.1,2015-16
1610612763,Memphis Grizzlies,15,11,4,0.733,735.0,108.7,111.0,105.1,107.2,3.6,3.8,2015-16
1610612748,Miami Heat,16,7,9,0.438,768.0,98.0,99.7,104.1,106.3,-6.1,-6.5,2015-16
1610612749,Milwaukee Bucks,16,7,9,0.438,773.0,102.2,103.7,103.9,105.6,-1.7,-1.9,2015-16
1610612750,Minnesota Timberwolves,17,5,12,0.294,821.0,108.7,109.5,110.4,112.9,-1.7,-3.4,2015-16
1610612740,New Orleans Pelicans,18,9,9,0.5,869.0,106.9,108.4,106.3,108.1,0.5,0.3,2015-16
1610612752,New York Knicks,17,5,12,0.294,836.0,103.5,104.9,107.6,108.9,-4.2,-4.1,2015-16
1610612760,Oklahoma City Thunder,17,14,3,0.824,821.0,111.4,114.0,103.5,105.2,7.9,8.9,2015-16
1610612753,Orlando Magic,14,3,11,0.214,692.0,99.6,102.0,107.4,107.8,-7.8,-5.8,2015-16
1610612755,Philadelphia 76ers,14,4,10,0.286,692.0,98.0,99.4,102.0,104.5,-4.0,-5.1,2015-16
1610612756,Phoenix Suns,15,1,14,0.067,720.0,96.0,98.3,111.4,111.7,-15.4,-13.4,2015-16
1610612757,Portland Trail Blazers,15,12,3,0.8,725.0,108.3,109.8,101.2,102.9,7.2,6.9,2015-16
1610612758,Sacramento Kings,16,7,9,0.438,778.0,104.5,106.1,106.5,108.0,-2.0,-1.8,2015-16
1610612759,San Antonio Spurs,15,13,2,0.867,720.0,111.8,112.6,99.1,100.8,12.7,11.9,2015-16
1610612761,Toronto Raptors,13,11,2,0.846,629.0,110.5,112.6,103.4,105.7,7.1,6.9,2015-16
1610612762,Utah Jazz,16,10,6,0.625,793.0,106.0,107.5,100.1,101.3,5.9,6.2,2015-16
1610612764,Washington Wizards,16,7,9,0.438,768.0,105.7,107.1,107.5,108.9,-1.8,-1.8,2015-16
1610612737,Atlanta Hawks,17,10,7,0.588,841.0,104.0,106.7,106.1,107.9,-2.1,-1.2,2016-17
1610612738,Boston Celtics,17,12,5,0.706,826.0,112.1,113.7,106.8,109.7,5.2,4.0,2016-17
1610612751,Brooklyn Nets,17,1,16,0.059,821.0,102.7,105.1,110.8,112.3,-8.2,-7.3,2016-17
1610612766,Charlotte Hornets,16,4,12,0.25,768.0,104.0,105.1,105.1,108.0,-1.2,-2.9,2016-17
1610612741,Chicago Bulls,16,8,8,0.5,773.0,105.6,108.0,107.6,110.0,-2.0,-2.0,2016-17
1610612739,Cleveland Cavaliers,16,10,6,0.625,783.0,114.2,115.5,109.8,111.5,4.4,4.0,2016-17
1610612742,Dallas Mavericks,17,10,7,0.588,826.0,109.4,109.9,103.7,105.0,5.7,4.9,2016-17
1610612743,Denver Nuggets,18,10,8,0.556,864.0,113.5,115.3,112.7,114.3,0.7,1.0,2016-17
1610612765,Detroit Pistons,15,9,6,0.6,720.0,106.3,108.3,104.8,106.0,1.6,2.3,2016-17
1610612744,Golden State Warriors,16,13,3,0.813,773.0,116.5,118.5,101.4,104.5,15.1,14.0,2016-17
1610612745,Houston Rockets,16,9,7,0.563,773.0,109.9,112.0,104.6,106.8,5.2,5.2,2016-17
1610612754,Indiana Pacers,18,9,9,0.5,869.0,107.2,109.2,108.0,109.5,-0.8,-0.3,2016-17
1610612746,LA Clippers,14,7,7,0.5,672.0,109.9,110.8,111.0,113.1,-1.0,-2.3,2016-17
1610612747,Los Angeles Lakers,14,4,10,0.286,672.0,102.4,104.4,110.4,111.7,-8.0,-7.3,2016-17
1610612763,Memphis Grizzlies,16,9,7,0.563,768.0,109.6,111.1,105.9,107.9,3.6,3.2,2016-17
1610612748,Miami Heat,16,14,2,0.875,768.0,110.3,112.9,102.7,104.7,7.6,8.2,2016-17
1610612749,Milwaukee Bucks,17,5,12,0.294,821.0,107.5,109.2,111.3,113.8,-3.8,-4.6,2016-17
1610612750,Minnesota Timberwolves,17,8,9,0.471,821.0,110.7,112.1,111.4,112.8,-0.7,-0.7,2016-17
1610612740,New Orleans Pelicans,16,7,9,0.438,773.0,105.2,106.0,107.8,109.9,-2.6,-3.9,2016-17
1610612752,New York Knicks,17,5,12,0.294,836.0,107.0,109.3,110.8,112.6,-3.8,-3.3,2016-17
1610612760,Oklahoma City Thunder,16,8,8,0.5,768.0,101.4,105.2,108.4,110.1,-6.9,-4.9,2016-17
1610612753,Orlando Magic,16,4,12,0.25,773.0,99.4,100.9,111.0,112.4,-11.5,-11.5,2016-17
1610612755,Philadelphia 76ers,18,9,9,0.5,864.0,102.2,104.2,106.9,108.3,-4.7,-4.1,2016-17
1610612756,Phoenix Suns,17,5,12,0.294,816.0,106.8,110.0,112.5,114.3,-5.7,-4.3,2016-17
1610612757,Portland Trail Blazers,14,5,9,0.357,682.0,104.5,106.2,108.8,110.2,-4.3,-4.0,2016-17
1610612758,Sacramento Kings,18,8,10,0.444,879.0,105.5,107.2,109.2,110.4,-3.6,-3.2,2016-17
1610612759,San Antonio Spurs,16,12,4,0.75,773.0,107.1,108.8,99.2,101.3,7.9,7.5,2016-17
1610612761,Toronto Raptors,18,7,11,0.389,869.0,105.1,107.5,106.4,108.8,-1.3,-1.4,2016-17
1610612762,Utah Jazz,15,9,6,0.6,730.0,108.6,109.8,103.2,104.4,5.4,5.4,2016-17
1610612764,Washington Wizards,16,14,2,0.875,778.0,114.2,115.5,103.1,105.0,11.1,10.4,2016-17
1610612737,Atlanta Hawks,17,7,10,0.412,816.0,103.2,106.4,107.6,110.2,-4.3,-3.8,2017-18
1610612738,Boston Celtics,15,6,9,0.4,730.0,102.8,105.0,104.2,106.8,-1.5,-1.8,2017-18
1610612751,Brooklyn Nets,16,3,13,0.188,778.0,104.0,105.9,112.8,113.4,-8.8,-7.5,2017-18
1610612766,Charlotte Hornets,16,8,8,0.5,773.0,108.5,111.3,109.1,111.1,-0.5,0.3,2017-18
1610612741,Chicago Bulls,14,4,10,0.286,682.0,103.5,105.1,109.3,110.7,-5.9,-5.6,2017-18
1610612739,Cleveland Cavaliers,14,8,6,0.571,677.0,109.6,110.8,111.3,113.1,-1.7,-2.3,2017-18
1610612742,Dallas Mavericks,14,3,11,0.214,672.0,103.5,106.2,108.3,109.8,-4.8,-3.7,2017-18
1610612743,Denver Nuggets,15,10,5,0.667,720.0,112.1,114.4,111.0,112.5,1.0,1.9,2017-18
1610612765,Detroit Pistons,16,6,10,0.375,773.0,105.3,107.3,106.7,109.5,-1.5,-2.2,2017-18
1610612744,Golden State Warriors,14,9,5,0.643,672.0,114.1,114.1,106.0,109.5,8.1,4.6,2017-18
1610612745,Houston Rockets,16,14,2,0.875,768.0,114.5,116.0,103.9,105.5,10.7,10.5,2017-18
1610612754,Indiana Pacers,16,11,5,0.688,768.0,109.7,110.6,105.2,107.4,4.6,3.2,2017-18
1610612746,LA Clippers,14,9,5,0.643,672.0,107.5,108.4,104.7,106.2,2.8,2.2,2017-18
1610612747,Los Angeles Lakers,15,8,7,0.533,720.0,107.5,109.5,108.6,110.2,-1.1,-0.6,2017-18
1610612763,Memphis Grizzlies,15,5,10,0.333,720.0,102.5,104.9,108.1,109.9,-5.5,-5.0,2017-18
1610612748,Miami Heat,17,6,11,0.353,816.0,101.4,104.3,103.2,105.1,-1.8,-0.9,2017-18
1610612749,Milwaukee Bucks,16,10,6,0.625,768.0,105.2,105.7,101.3,104.0,3.9,1.8,2017-18
1610612750,Minnesota Timberwolves,17,8,9,0.471,821.0,113.6,115.5,113.2,114.9,0.4,0.5,2017-18
1610612740,New Orleans Pelicans,16,10,6,0.625,798.0,105.2,106.6,104.0,106.2,1.2,0.3,2017-18
1610612752,New York Knicks,17,4,13,0.235,821.0,102.1,104.3,108.7,110.5,-6.7,-6.2,2017-18
1610612760,Oklahoma City Thunder,16,10,6,0.625,768.0,111.6,114.3,106.7,109.6,4.9,4.6,2017-18
1610612753,Orlando Magic,14,6,8,0.429,672.0,108.0,110.1,107.4,109.6,0.7,0.5,2017-18
1610612755,Philadelphia 76ers,16,11,5,0.688,768.0,108.0,109.0,100.3,102.2,7.6,6.8,2017-18
1610612756,Phoenix Suns,16,2,14,0.125,768.0,98.8,102.0,115.6,117.0,-16.8,-14.9,2017-18
1610612757,Portland Trail Blazers,16,10,6,0.625,773.0,110.1,112.0,108.5,110.7,1.6,1.3,2017-18
1610612758,Sacramento Kings,15,5,10,0.333,720.0,102.7,104.9,108.7,110.4,-6.0,-5.6,2017-18
1610612759,San Antonio Spurs,15,6,9,0.4,720.0,105.0,106.6,104.3,104.7,0.7,2.0,2017-18
1610612761,Toronto Raptors,16,12,4,0.75,768.0,110.2,112.5,100.9,102.5,9.3,10.0,2017-18
1610612762,Utah Jazz,16,13,3,0.813,773.0,111.4,112.7,102.2,103.6,9.2,9.2,2017-18
1610612764,Washington Wizards,14,8,6,0.571,677.0,108.3,110.4,108.1,110.4,0.2,0.0,2017-18
1610612737,Atlanta Hawks,16,6,10,0.375,768.0,109.2,112.0,116.2,117.3,-7.0,-5.4,2018-19
1610612738,Boston Celtics,16,12,4,0.75,768.0,114.1,115.2,106.4,108.8,7.7,6.4,2018-19
1610612751,Brooklyn Nets,15,9,6,0.6,740.0,106.2,110.2,107.4,109.3,-1.2,0.9,2018-19
1610612766,Charlotte Hornets,15,8,7,0.533,720.0,108.8,110.4,110.6,112.7,-1.8,-2.4,2018-19
1610612741,Chicago Bulls,15,4,11,0.267,720.0,108.2,109.9,112.0,113.7,-3.7,-3.8,2018-19
1610612739,Cleveland Cavaliers,15,4,11,0.267,735.0,102.9,104.7,113.0,114.0,-10.1,-9.3,2018-19
1610612742,Dallas Mavericks,15,6,9,0.4,720.0,106.1,109.2,109.2,111.1,-3.1,-1.9,2018-19
1610612743,Denver Nuggets,16,11,5,0.688,768.0,115.9,117.8,111.4,112.8,4.5,5.0,2018-19
1610612765,Detroit Pistons,15,8,7,0.533,725.0,107.4,108.2,104.5,106.6,3.0,1.6,2018-19
1610612744,Golden State Warriors,15,13,2,0.867,720.0,119.7,120.6,107.2,110.1,12.5,10.5,2018-19
1610612745,Houston Rockets,16,9,7,0.563,778.0,112.7,116.7,111.9,114.0,0.8,2.8,2018-19
1610612754,Indiana Pacers,16,10,6,0.625,768.0,107.3,109.4,102.4,104.1,4.9,5.3,2018-19
1610612746,LA Clippers,17,8,9,0.471,821.0,107.6,109.4,108.4,110.2,-0.8,-0.8,2018-19
1610612747,Los Angeles Lakers,14,5,9,0.357,687.0,106.0,108.5,113.2,115.7,-7.1,-7.1,2018-19
1610612763,Memphis Grizzlies,17,4,13,0.235,821.0,100.5,102.7,107.7,109.6,-7.1,-6.9,2018-19
1610612748,Miami Heat,15,5,10,0.333,720.0,100.9,103.0,106.4,108.2,-5.5,-5.2,2018-19
1610612749,Milwaukee Bucks,16,14,2,0.875,768.0,111.1,112.4,98.9,101.1,12.2,11.3,2018-19
1610612750,Minnesota Timberwolves,14,6,8,0.429,677.0,109.5,112.6,112.4,113.6,-2.9,-1.0,2018-19
1610612740,New Orleans Pelicans,16,6,10,0.375,768.0,108.0,109.4,111.1,112.5,-3.1,-3.1,2018-19
1610612752,New York Knicks,16,1,15,0.063,768.0,99.8,101.3,107.3,110.4,-7.5,-9.1,2018-19
1610612760,Oklahoma City Thunder,15,11,4,0.733,725.0,115.0,116.5,110.3,111.7,4.8,4.8,2018-19
1610612753,Orlando Magic,17,9,8,0.529,821.0,111.3,112.6,103.9,106.4,7.4,6.1,2018-19
1610612755,Philadelphia 76ers,15,10,5,0.667,720.0,115.3,116.8,106.7,108.6,8.6,8.1,2018-19
1610612756,Phoenix Suns,15,0,15,0.0,720.0,101.4,103.7,116.4,119.4,-15.1,-15.8,2018-19
1610612757,Portland Trail Blazers,14,8,6,0.571,672.0,115.3,118.0,110.6,112.2,4.7,5.8,2018-19
1610612758,Sacramento Kings,14,8,6,0.571,672.0,106.0,107.1,106.8,109.6,-0.8,-2.5,2018-19
1610612759,San Antonio Spurs,15,8,7,0.533,720.0,111.5,112.8,114.6,117.3,-3.2,-4.4,2018-19
1610612761,Toronto Raptors,15,11,4,0.733,730.0,111.0,114.4,105.8,108.8,5.2,5.6,2018-19
1610612762,Utah Jazz,13,9,4,0.692,624.0,109.4,112.4,104.9,107.6,4.5,4.9,2018-19
1610612764,Washington Wizards,15,6,9,0.4,730.0,110.9,112.4,112.8,114.1,-1.9,-1.7,2018-19
1610612737,Atlanta Hawks,17,7,10,0.412,826.0,108.2,110.3,114.5,116.1,-6.3,-5.9,2019-20
1610612738,Boston Celtics,17,12,5,0.706,826.0,113.4,114.7,106.4,108.2,7.0,6.5,2019-20
1610612751,Brooklyn Nets,16,8,8,0.5,773.0,108.1,111.1,106.3,107.7,1.8,3.4,2019-20
1610612766,Charlotte Hornets,13,3,10,0.231,624.0,101.1,103.5,110.7,113.3,-9.6,-9.8,2019-20
1610612741,Chicago Bulls,15,5,10,0.333,725.0,105.5,106.9,112.9,113.5,-7.4,-6.6,2019-20
1610612739,Cleveland Cavaliers,15,2,13,0.133,725.0,105.2,107.7,117.5,118.1,-12.3,-10.4,2019-20
1610612742,Dallas Mavericks,16,9,7,0.563,768.0,116.7,119.0,113.0,115.2,3.7,3.8,2019-20
1610612743,Denver Nuggets,17,12,5,0.706,831.0,112.1,114.4,107.9,110.0,4.2,4.3,2019-20
1610612765,Detroit Pistons,17,5,12,0.294,836.0,106.1,108.4,108.3,110.6,-2.3,-2.2,2019-20
1610612744,Golden State Warriors,15,3,12,0.2,730.0,105.0,106.4,114.2,115.9,-9.1,-9.6,2019-20
1610612745,Houston Rockets,16,8,8,0.5,768.0,108.6,112.0,110.0,112.5,-1.3,-0.5,2019-20
1610612754,Indiana Pacers,16,8,8,0.5,773.0,110.0,111.0,108.7,111.3,1.3,-0.3,2019-20
1610612746,LA Clippers,16,10,6,0.625,778.0,111.4,113.6,106.8,109.3,4.6,4.3,2019-20
1610612747,Los Angeles Lakers,14,9,5,0.643,677.0,113.7,115.3,108.5,110.8,5.2,4.5,2019-20
1610612763,Memphis Grizzlies,15,11,4,0.733,720.0,106.9,108.8,103.2,105.6,3.7,3.2,2019-20
1610612748,Miami Heat,16,8,8,0.5,778.0,112.0,114.6,110.5,112.6,1.5,2.0,2019-20
1610612749,Milwaukee Bucks,13,11,2,0.846,624.0,110.7,112.5,100.3,101.6,10.4,10.9,2019-20
1610612750,Minnesota Timberwolves,15,1,14,0.067,725.0,106.8,110.1,114.5,114.7,-7.7,-4.7,2019-20
1610612740,New Orleans Pelicans,15,9,6,0.6,730.0,112.8,115.3,107.7,110.6,5.0,4.6,2019-20
1610612752,New York Knicks,16,7,9,0.438,783.0,102.9,105.7,108.3,109.8,-5.4,-4.1,2019-20
1610612760,Oklahoma City Thunder,16,11,5,0.688,768.0,112.5,115.8,108.5,110.7,4.1,5.1,2019-20
1610612753,Orlando Magic,16,6,10,0.375,773.0,105.7,107.0,110.2,113.1,-4.5,-6.1,2019-20
1610612755,Philadelphia 76ers,15,9,6,0.6,720.0,106.4,106.7,105.2,107.3,1.2,-0.5,2019-20
1610612756,Phoenix Suns,17,7,10,0.412,816.0,108.4,109.7,107.3,110.4,1.2,-0.8,2019-20
