Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,W_15,L_15,WIN%_15,OFFRTG,DEFRTG,NETRTG,W_Post,WIN%_Post
Indiana Pacers,53,28,25,0.528,2574.0,0.496,0.276,0.155,0.279,0.49,0.274,0.167,0.293,2015-16,17,7,10,0.412,103.9,105.0,-1.1,17,0.586
LA Clippers,53,35,18,0.66,2569.0,0.519,0.331,0.132,0.24,0.483,0.306,0.156,0.296,2015-16,16,11,5,0.688,107.8,103.3,4.5,18,0.621
Los Angeles Lakers,55,11,44,0.2,2645.0,0.458,0.286,0.145,0.27,0.514,0.274,0.131,0.293,2015-16,17,3,14,0.176,99.1,110.3,-11.1,6,0.222
Memphis Grizzlies,53,31,22,0.585,2569.0,0.481,0.302,0.14,0.278,0.506,0.316,0.174,0.289,2015-16,15,11,4,0.733,111.0,107.2,3.8,11,0.379
Miami Heat,53,29,24,0.547,2559.0,0.499,0.284,0.152,0.259,0.485,0.241,0.138,0.27,2015-16,16,7,9,0.438,99.7,106.3,-6.5,19,0.655
Milwaukee Bucks,54,22,32,0.407,2607.0,0.495,0.278,0.161,0.29,0.506,0.302,0.159,0.315,2015-16,16,7,9,0.438,103.7,105.6,-1.9,11,0.393
Minnesota Timberwolves,54,17,37,0.315,2617.0,0.487,0.334,0.154,0.285,0.516,0.283,0.148,0.29,2015-16,17,5,12,0.294,109.5,112.9,-3.4,12,0.429
New Orleans Pelicans,53,20,33,0.377,2559.0,0.497,0.249,0.133,0.252,0.517,0.275,0.14,0.262,2015-16,18,9,9,0.5,108.4,108.1,0.3,10,0.345
New York Knicks,55,23,32,0.418,2665.0,0.481,0.267,0.142,0.289,0.486,0.29,0.124,0.289,2015-16,17,5,12,0.294,104.9,108.9,-4.1,9,0.333
Oklahoma City Thunder,54,40,14,0.741,2612.0,0.523,0.297,0.158,0.341,0.482,0.27,0.139,0.287,2015-16,17,14,3,0.824,114.0,105.2,8.9,15,0.536
Orlando Magic,52,23,29,0.442,2536.0,0.495,0.217,0.153,0.28,0.5,0.278,0.153,0.274,2015-16,14,3,11,0.214,102.0,107.8,-5.8,12,0.4
Philadelphia 76ers,53,8,45,0.151,2564.0,0.484,0.266,0.181,0.263,0.504,0.301,0.155,0.296,2015-16,14,4,10,0.286,99.4,104.5,-5.1,2,0.069
Phoenix Suns,54,14,40,0.259,2597.0,0.494,0.264,0.171,0.287,0.528,0.311,0.156,0.273,2015-16,15,1,14,0.067,98.3,111.7,-13.4,9,0.321
Portland Trail Blazers,54,27,27,0.5,2607.0,0.506,0.252,0.153,0.301,0.499,0.318,0.138,0.265,2015-16,15,12,3,0.8,109.8,102.9,6.9,17,0.607
Sacramento Kings,53,22,31,0.415,2569.0,0.509,0.301,0.162,0.286,0.521,0.266,0.155,0.272,2015-16,16,7,9,0.438,106.1,108.0,-1.8,11,0.379
